Date,text,event,Decription ,Source,santions,sanctions-general,sanctions-swift,sanctions-foreign,sanctions-nordstream,sanctions-gas,sanctions-food,cold_war_ii-nuclear,cold_war_ii-armament_pump,cold_war_ii-armament_suply,cold_war_ii-biolab,cold_war_ii-china,cold_war_ii-serb,cold_war_ii-belarus,cold_war_ii-colab-alies,nazi-general,nazi-denazification,nazi-mariupol,nazi-bucha,nazi-atrocity,nazi-rehabilitation,nazi-azov,nazi-azovstal,Protecting the Russian World,Ukrainian crisis,self-cleansing from public enemies,5 High-Precision,5 Provocation
2022.06.03,"Jun, 3. Sanctions Wave #6: oil, mass media, freezing assets, technologies","Sixth round of sanctions introduced: Partial oil embargo, banks disconnection from swift announced, banning of Russian mass media, technological, financial, consulting restrictions, freezing of bank assets.",,https://ru.wikipedia.org/wiki/%D0%A1%D0%B0%D0%BD%D0%BA%D1%86%D0%B8%D0%B8_%D0%B2_%D1%81%D0%B2%D1%8F%D0%B7%D0%B8_%D1%81_%D0%B2%D1%82%D0%BE%D1%80%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5%D0%BC_%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D0%B8_%D0%BD%D0%B0_%D0%A3%D0%BA%D1%80%D0%B0%D0%B8%D0%BD%D1%83_(2022)#%D0%92%D1%82%D0%BE%D1%80%D0%BE%D0%B9_%D0%BF%D0%B0%D0%BA%D0%B5%D1%82_%D1%81%D0%B0%D0%BD%D0%BA%D1%86%D0%B8%D0%B9_(%D0%B7%D0%B0_%D0%B2%D1%82%D0%BE%D1%80%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5_%D0%BD%D0%B0_%D0%A3%D0%BA%D1%80%D0%B0%D0%B8%D0%BD%D1%83),1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
2022.06.04,,Russian governor says Ukraine hits border village,"Alexander Bogomaz, the Governor of Russia's Bryansk region, said that Ukrainian forces carried out strikes on a village in the region",https://www.reuters.com/article/ukraine-crisis-russia-strikes-idINL8N2XR07G,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022.06.06,"Jun, 6. EU adopts new sanctions to de-SWIFT Russian and Belarusian banks",,,https://www.retailbankerinternational.com/news/eu-adopts-new-sanctions/,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
2022.06.06,"Jun,6. Russian Foreign Minister Sergei Lavrov cancelled visit to Serbia after countries around Serbia closed their airspace.",,,https://www.bbc.com/russian/news-61701125,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,
2022.06.07,"Jun,7. Former speaker of Poland Parlament offered to give a nuclear weapon to Ukraine. ",No garanties for Finland and Sweden about Nuclear weapons + Sikorsky statment ,,"https://www.rts.ch/info/monde/13147685-camille-grand-lotan-fait-tout-pour-que-ladhesion-de-la-suede-et-de-la-finlande-se-fasse-vite.html
https://espreso.tv/zakhid-mae-pravo-podaruvati-ukraini-yaderni-boegolovki-deputat-evroparlamentu-sikorskiy",,,,,,,,1,,,,,,,,,,,,,,,,,,,,
2022.06.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022.06.17,,"According to the Kremlin, the traitors will “disappear on their own” in Russia.","The Kremlin was convinced that those who are considered traitors today will choose themselves and disappear from Russian society in the midst of tensions caused by Moscow's military operations in Ukraine, said Dmitri Peskov, a spokesman for the President of the Russian Federation",https://www.infobae.com/en/2022/03/17/according-to-the-kremlin-the-traitors-will-disappear-on-their-own-in-russia/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022.06.24,"Jun, 24. The President of Belarus arrived in Russia on an informal visit",,,https://tass.ru/politika/15010613?utm_source=google.com&utm_medium=organic&utm_campaign=google.com&utm_referrer=google.com,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,
2022.06.25,"June, 25. Russian forces took control of the battered city of Severodonetsk in eastern Ukraine",Severodonetsk: Russia has full control of eastern city,,https://www.bbc.com/news/world-europe-61936820,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,
2022.06.27,,Kremenchuk shopping mall attack,"he Russian Armed Forces fired two Kh-22 anti-ship missiles into central Kremenchuk, Poltava Oblast, hitting the Amstor shopping mall and the Kredmash road machinery plant. A fire broke out and the attack killed at least 20 people and injured at least 56. Russian media and officials carried conflicting stories about the attack.","https://en.wikipedia.org/wiki/Kremenchuk_shopping_mall_attack
https://www.reuters.com/world/europe/russian-missiles-hit-crowded-shopping-mall-central-ukraine-zelenskiy-2022-06-27/",,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2022.06.28,"Jun, 28. Legalisation of ""parallel imports"" in russia","Putin signed a bill into law legalizing ""parallel imports""","The law protects Russian companies that import certain categories of goods without the permission of the intellectual property owner, the so-called parallel imports, from possible civil, administrative and criminal liability.","https://english.news.cn/20220629/fc036f94e0974224aaa983da224c484e/c.html#:~:text=MOSCOW%2C%20June%2028%20(Xinhua),prices%20amid%20Western%20economic%20sanctions",1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
2022.06.30,"Jun, 30. End of Russian Partial Ban on Grain Exports",End of Russian Partial Ban on Grain Exports,,https://gro-intelligence.com/insights/russia-enacts-partial-ban-on-grain-exports-in-another-hit-to-global-wheat-supplies,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,
2022.06.30,,Russian Duma passes law on retaliation against foreign media,"The lower house of the State Duma passed new laws allowing the Russian prosecutor-general to shut down foreign media from countries that have banned Russian media, due to bans on Russian media over the war in Ukraine.",https://www.reuters.com/world/europe/russian-duma-passes-law-retaliation-against-foreign-media-2022-06-30/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022.06.30,,Российские военные отступили с острова Змеинный ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2022.07.01,,Odesa oblast bombing,"three Kh-22 missiles fired from Tu-22M strategic bombers were fired into a 9-store apartment building and an recreational center in the settlement Serhiivka, Bilhorod-Dnistrovskyi Raion, Odesa Oblast. The whole section of the apartment building was destroyed. At least 21 people were killed and more than 38 wounded.","https://www.reuters.com/world/middle-east/ukraines-zelenskiy-celebrates-retaking-snake-island-2022-07-01/
https://en.wikipedia.org/wiki/Serhiivka_missile_strike",,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2022.07.01,"Jul, 1. In July 2022, Nord Stream AG will temporarily close both lines of its pipeline for planned maintenance work",,,https://www.nord-stream.com/de/presse-info/pressemitteilungen/jaehrliche-wartungsarbeiten-der-nord-stream-pipeline-werden-im-juli-2022-stattfinden-524/,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,
2022.07.02,,,"Two Britons, Andrew Hill and Dylan Healy, were charged by the Donetsk People's Republic as being mercenaries, the same charge that two other Britons, Shaun Pinner and Aiden Aslin, were convicted of in June and sentenced to death for",https://www.bbc.com/news/uk-62557923,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022.07.03,,хлопки в белгороде,,https://ria.ru/20220703/belgorod-1799852806.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022.07.03,"July, 3. Ukrainian forces withdrew from Lysychansk, a city in the Sievierodonetsk Raion of the Luhansk Oblast",Ukrainian troops left Lisichansk,,https://www.washingtonpost.com/world/2022/07/03/russia-ukraine-war-putin-news-live-updates/,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,
2022.07.05,,Reported that Russian forces arranged a military base in the complex by deploying heavy self-propelled multiple rocket launcher BM-30 Smerch inside Zaporizhzhia Nuclear Power Station,,https://www.wsj.com/articles/russian-army-turns-ukraines-largest-nuclear-plant-into-a-military-base-11657035694,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022.07.06,,"Igor Konashenkov, the Russian defence ministry's chief spokesman, said that Russian air-launched high precision missiles had destroyed two U.S.-supplied HIMARS systems in Ukraine","The Ukrainian military denied the claim, calling it ""nothing more than a fake"".[645] The Russian military released video allegedly showing the attack, but it could not be independently verified",https://www.aljazeera.com/news/2022/7/6/russia-destroy-us-himar-weapons-in-ukraine-defence-ministry,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2022.07.07,,"Putin says Russia just starting in Ukraine, peace talks will get harder","""Today we hear that they want to defeat us on the battlefield. What can you say, let them try. We have heard many times that the West wants to fight us to the last Ukrainian. This is a tragedy for the Ukrainian people, but it seems that everything is heading towards this. Everyone should know that, by and large, we haven't started anything yet in earnest. At the same time, we don't reject peace talks. But those who reject them should know that the further it goes, the harder it will be for them to negotiate with us."" Mykhailo Podolyak, the Ukrainian chief negotiator, wrote on Twitter in response: ""There is no 'collective West' plan. Only a specific z-army which entered sovereign Ukraine, shelling cities and killing civilians. Everything else is a primitive propaganda. That's why Mr. Putin's mantra of the 'war to the last Ukrainian' is yet another proof of deliberate Russian genocide.""",https://www.reuters.com/world/europe/russias-putin-if-west-wants-beat-us-battlefield-let-them-try-2022-07-07/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022.07.08,,"The governor of the Mykolaiv Oblast, Vitaly Kim, claimed that Russia had been using the surface-to-air S-300 missile system in a surface-to-surface capacity.",,https://www.thedrive.com/the-war-zone/russia-now-firing-s-300-surface-to-air-missiles-at-land-targets-in-ukraine-official,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2022.07.09,,Missile strike on Chasiv Yar,"A missile strike on two residential buildings in Chasiv Yar by the Russian army was carried out at 21:17 local time on 9 July 2022. 47 people were found dead under the rubble, and 9 wounded were rescued. Due to the impact, a five-story residential building partially collapsed.",https://www.theguardian.com/world/2022/jul/13/donetsk-town-of-chasiv-yar-reels-from-deadly-russian-rocket-strike,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2022.07.11,,Shelling of Kharkiv,"The mayor Ihor Terekhov said that the areas shelled were residential area with ""no military significance"", including several civilian houses, stores, a tire repair store, and a school. Reuters confirmed that at least one residential structure had been hit. Authorities said that six civilians had died, including a 17-year old teenager and his father","https://www.reuters.com/world/europe/russian-shelling-kills-three-wounds-28-kharkiv-ukraine-2022-07-11/
https://www.npr.org/2022/07/11/1110808126/russian-attacks-kharkiv",,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2022.07.13,,North Korea recognised the independence of the Donetsk People's Republic (DPR) and the Luhansk People's Republic (LPR),Ukraine to introduce sanctions against the North Korean government.,https://www.reuters.com/world/north-korea-recognises-breakaway-russias-proxies-east-ukraine-2022-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022.07.14,,A missile strike in Vinnytsia killed 26 people.,"Over 90 innocent civilians were injured in the Russian rocket attack, which also hit a hospital, shopping mall, and damaged numerous residential buildings. 50 vehicles were also set ablaze in the shopping mall car park, with footage circulating on social media platforms showing thick black smoke filling the sky. 26 people are now confirmed to have died, including three children.

Russia's defence ministry said Thursday's cruise missile strike on the Ukrainian city of Vinnytsia was directed at a building where top officials from Ukraine's armed forces were meeting foreign arms suppliers.","https://www.kyivpost.com/russias-war/update-vinnytsia-attack-death-toll-reaches-26-exclusive-photos.html
https://www.reuters.com/world/europe/russia-says-building-struck-ukraines-vinnytsia-was-military-target-2022-07-15/",,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2022.07.14,,"Russia started a ""volunteer mobilisation"". The Wagner Group also started recruiting prisoners.",,"
https://www.msn.com/en-gb/news/world/russian-army-needs-34000-more-soldiers-to-restore-full-force-in-ukraine/ar-AAZzX6E
https://en.wikipedia.org/wiki/Timeline_of_the_2022_Russian_invasion_of_Ukraine#cite_note-673",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022.07.15,,"Ukraine claimed that Russia was using the Zaporizhzhia Nuclear Power Station to store weapons, and as a base from which to fire them",,https://www.theguardian.com/world/live/2022/jul/16/russia-ukraine-war-air-raid-sirens-in-kyiv-as-russia-intensifies-long-range-bombardment-latest-updates#maincontent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022.07.18,"Jul, 18. The Financial Times reported on the plans of the speaker of US House Speaker Nancy Pelosi to visit Taiwan",,,https://www.reuters.com/world/us/us-house-speaker-nancy-pelosi-visit-taiwan-august-ft-2022-07-19/,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,
2022.07.19,,Himars missiles strike key Russian-held bridge in Kherson,"A Ukrainian missile strike has damaged a key bridge linking the Russian-occupied city of Kherson with the heavily militarised Russia-controlled Crimea, potentially disrupting further reinforcements.",https://www.telegraph.co.uk/world-news/2022/07/19/russia-ukraine-war-latest-news-putin-iryna-venediktova/,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2022.07.21,"Jul, 21. Sanctions Wave #7: gold, personal, technologies","Seventh round of sanctions introduced: Ban on operations with Russian gold, personal, technological sanctions",,https://ru.wikipedia.org/wiki/%D0%A1%D0%B0%D0%BD%D0%BA%D1%86%D0%B8%D0%B8_%D0%B2_%D1%81%D0%B2%D1%8F%D0%B7%D0%B8_%D1%81_%D0%B2%D1%82%D0%BE%D1%80%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5%D0%BC_%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D0%B8_%D0%BD%D0%B0_%D0%A3%D0%BA%D1%80%D0%B0%D0%B8%D0%BD%D1%83_(2022)#%D0%92%D1%82%D0%BE%D1%80%D0%BE%D0%B9_%D0%BF%D0%B0%D0%BA%D0%B5%D1%82_%D1%81%D0%B0%D0%BD%D0%BA%D1%86%D0%B8%D0%B9_(%D0%B7%D0%B0_%D0%B2%D1%82%D0%BE%D1%80%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5_%D0%BD%D0%B0_%D0%A3%D0%BA%D1%80%D0%B0%D0%B8%D0%BD%D1%83),1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
2022.07.21,,Kharkiv shelling,,https://apnews.com/article/russia-ukraine-kharkiv-government-and-politics-3d21de300eff094b127cb5958193255b,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022.07.21,,"The CEO of Metinvest, the company that owns the Azovstal iron and steel works, accused Russia of taking £500 million worth of steel from Ukraine",,https://www.bbc.com/news/business-62252704,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022.07.22,,Russia and Ukraine signed a U.N. and Turkey-brokered deal to free grain exports blockaded by Russia in Ukraine's Black Sea ports,,https://www.politico.eu/article/russia-and-ukraine-to-sign-grain-deal-friday-turkey-says/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022.07.23,,"
Russia fires missiles at Odesa port hours after signing grain export deal","less than a day after signing a grain export deal with Ukraine, Russia launched Kalibr missiles at the Odesa sea trade port. According to Ukraine, two of the four missiles were intercepted. Russian officials told Turkey that Russia had ""nothing to do"" with the missile strike",https://www.theguardian.com/world/2022/jul/23/russia-fires-missiles-odesa-port-hours-after-grain-export-deal,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2022.07.24,,Russian's Defence Ministry claims to have destroyed 100 HIMARS missiles in a strike on Dnipropetrovsk. Reuters couldn't independently verify this claim.,"The claim is now of over 50 Ukrainian POWs killed, including captured members of the Azov Regiment at Mariupol. Russia claimed the prison was hit with HIMARS missiles and offered fragments of the rocket as proof. Ukraine is asking the UN and Red Cross to investigate.",https://timesofindia.indiatimes.com/world/rest-of-world/russia-says-its-strike-on-july-24-destroyed-100-himars-missiles/articleshow/93160458.cms,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2022.07.27,"Jul, 27. Russia has reduced gas supplies via the Nord Stream 1 pipeline by 20%",,,https://www.tagesschau.de/wirtschaft/gas-nord-stream-eins-gazprom-101.html,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,
2022.07.29,,"An explosion occurred at Olenivka prison, killing, according to RIA, 40 captured Ukrainian POWs and wounding 75. Ukraine's General Staff stated that the strike was committed by Russia to hide the torture and executions of Ukrainian prisoners of war.","Russian energy giant Gazprom says it has suspended gas supplies to Latvia - the latest EU country to experience such action amid tensions over Ukraine. Gazprom accused Latvia of violating conditions of purchase, but gave no details of that alleged violation.",https://www.reuters.com/world/europe/russia-40-ukrainian-pows-killed-by-ukrainian-missile-strike-donetsk-prison-2022-07-29/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022.07.30,"Jul, 30. Gazprom stops Latvia's gas in latest Russian cut to EU",Gazprom stops Latvia's gas in latest Russian cut to EU,,https://www.bbc.com/news/world-europe-62359890,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,
